id,code,name
216,15189,CIÉNEGA,
217,15204,CÓMBITA,
218,15212,COPER,
219,15215,CORRALES,
220,15218,COVARACHÍA,
221,15223,CUBARÁ,
222,15224,CUCAITA,
223,15226,CUÍTIVA,
224,15232,CHÍQUIZA,
225,15236,CHIVOR,
226,15238,DUITAMA,
227,15244,EL COCUY,
228,15248,EL6aSPINO,
229,15272,FIRAVITOBA,
230,15276,FLORESTA,
231,15293,GACHANTIVÁ,
232,15296,GAMEZA,
233,15299,GARAGOA,
234,15317,GUACAMAYAS,
235,15322,GUATEQUE,
236,15325,GUAYATÁ,
237,15332,GÜICÁN,
238,15362,IZA,
239,15367,JENESANO,
240,15368,JERICÓ,
241,15377,LABRANZAGRANDE,
242,15380,LA CAPILLA,
243,15401,LA VICTORIA,
244,15403,LA UVITA,
245,15407,VILLA DE LEYVA,
246,15425,MACANAL,
247,15442,MARIPÍ,
248,15455,MIRAFLORES,
249,15464,MONGUA,
250,15466,MONGUÍ,
251,15469,MONIQUIRÁ,
252,15476,MOTAVITA,
253,15480,MUZO,
254,15491,NOBSA,
255,15494,NUEVO COLÓN,
256,15500,OICATÁ,
257,15507,OTANCHE,
258,15511,PACHAVITA,
259,15514,PÁEZ,
260,15516,PAIPA,
261,15518,PAJARITO,
262,15522,PANQUEBA,
263,15531,PAUNA,
264,15533,PAYA,
265,15537,PAZ DE RÍO,
266,15542,PESCA,
267,15550,PISBA,
268,15572,PUERTO BOYACÁ,
269,15580,QUÍPAMA,
270,15599,RAMIRIQUÍ,
271,15600,RÁQUIRA,
272,15621,RONDÓN,
273,15632,SABOYÁ,
274,15638,SÁCHICA,
275,15646,SAMACÁ,
276,15660,SAN EDUARDO,
277,15664,SAN JOSÉ DE PARE,
278,15667,SAN LUIS DE GACENO,
279,15673,SAN MATEO,
280,15676,SAN MIGUEL DE SEMA,
281,15681,SAN PABLO DE BORBUR,
282,15686,SANTANA,
283,15690,SANTA MARÍA,
284,15693,SANTA ROSA DE VITERBO,
285,15696,SANTA SOFÍA,
286,15720,SATIVANORTE,
287,15723,SATIVASUR,
288,15740,SIACHOQUE,
289,15753,SOATÁ,
290,15755,SOCOTÁ,
291,15757,SOCHA,
292,15759,SOGAMOSO,
293,15761,SOMONDOCO,
294,15762,SORA,
295,15763,SOTAQUIRÁ,
296,15764,SORACÁ,
297,15774,SUSACÓN,
298,15776,SUTAMARCHÁN,
299,15778,SUTATENZA,
300,15790,TASCO,
301,15798,TENZA,
302,15804,TIBANÁ,
303,15806,TIBASOSA,
304,15808,TINJACÁ,
305,15810,TIPACOQUE,
306,15814,TOCA,
307,15816,TOGÜÍ,
308,15820,TÓPAGA,
309,15822,TOTA,
310,15832,TUNUNGUÁ,
311,15835,TURMEQUÉ,
312,15837,TUTA,
313,15839,TUTAZÁ,
314,15842,UMBITA,
315,15861,VENTAQUEMADA,
316,15879,VIRACACHÁ,
317,15897,ZETAQUIRA,
318,17001,MANIZALES,
319,17013,AGUADAS,
320,17042,ANSERMA,
321,17050,ARANZAZU,
322,17088,BELALCÁZAR,
323,17174,CHINCHINÁ,
324,17272,FILADELFIA,
325,17380,LA DORADA,
326,17388,LA MERCED,
327,17433,MANZANARES,
328,17442,MARMATO,
329,17444,MARQUETALIA,
330,17446,MARULANDA,
331,17486,NEIRA,
332,17495,NORCASIA,
333,17513,PÁCORA,
334,17524,PALESTINA,
335,17541,PENSILVANIA,
336,17614,RIOSUCIO,
337,17616,RISARALDA,
338,17653,SALAMINA,
339,17662,SAMANÁ,
340,17665,SAN JOSÉ,
341,17777,SUPÍA,
342,17867,VICTORIA,
343,17873,VILLAMARÍA,
344,17877,VITERBO,
345,18001,FLORENCIA,
346,18029,ALBANIA,
347,18094,BELÉN DE LOS ANDAQUIES,
348,18150,CARTAGENA DEL CHAIRÁ,
349,18205,CURILLO,
350,18247,EL DONCELLO,
351,18256,EL PAUJIL,
352,18410,LA MONTAÑITA,
353,18460,MILÁN,
354,18479,MORELIA,
355,18592,PUERTO RICO,
356,18610,SAN JOSÉ DEL FRAGUA,
357,18753,SAN VICENTE DEL CAGUÁN,
358,18756,SOLANO,
359,18785,SOLITA,
360,18860,VALPARAÍSO,
361,19001,POPAYÁN,
362,19022,ALMAGUER,
363,19050,ARGELIA,
364,19075,BALBOA,
365,19100,BOLÍVAR,
366,19110,BUENOS AIRES,
367,19130,CAJIBÍO,
368,19137,CALDONO,
369,19142,CALOTO,
370,19212,CORINTO,
371,19256,EL TAMBO,
372,19290,FLORENCIA,
373,19300,GUACHENÉ,
374,19318,GUAPI,
375,19355,INZÁ,
376,19364,JAMBALÓ,
377,19392,LA SIERRA,
378,19397,LA VEGA,
379,19418,LÓPEZ,
380,19450,MERCADERES,
381,19455,MIRANDA,
382,19473,MORALES,
383,19513,PADILLA,
384,19517,PAEZ,
385,19532,PATÍA,
386,19533,PIAMONTE,
387,19548,PIENDAMÓ,
388,19573,PUERTO TEJADA,
389,19585,PURACÉ,
390,19622,ROSAS,
391,19693,SAN SEBASTIÁN,
392,19698,SANTANDER DE QUILICHAO,
393,19701,SANTA ROSA,
394,19743,SILVIA,
395,19760,SOTARA,
396,19780,SUÁREZ,
397,19785,SUCRE,
398,19807,TIMBÍO,
399,19809,TIMBIQUÍ,
400,19821,TORIBIO,
401,19824,TOTORÓ,
402,19845,VILLA RICA,
403,20001,VALLEDUPAR,
404,20011,AGUACHICA,
405,20013,AGUSTÍN CODAZZI,
406,20032,ASTREA,
407,20045,BECERRIL,
408,20060,BOSCONIA,
409,20175,CHIMICHAGUA,
410,20178,CHIRIGUANÁ,
411,20228,CURUMANÍ,
412,20238,EL COPEY,
413,20250,EL PASO,
414,20295,GAMARRA,
415,20310,GONZÁLEZ,
416,20383,LA GLORIA,
417,20400,LA JAGUA DE IBIRICO,
418,20443,MANAURE,
419,20517,PAILITAS,
420,20550,PELAYA,
421,20570,PUEBLO BELLO,
422,20614,RÍO DE ORO,
423,20621,LA PAZ,
424,20710,SAN ALBERTO,
425,20750,SAN DIEGO,
426,20770,SAN MARTÍN,
427,20787,TAMALAMEQUE,
428,23001,MONTERÍA,
429,23068,AYAPEL,
430,23079,BUENAVISTA,
431,23090,CANALETE,
432,23162,CERETÉ,
433,23168,CHIMÁ,
434,23182,CHINÚ,
435,23189,CIÉNAGA DE ORO,
436,23300,COTORRA,
437,23350,LA APARTADA,
438,23417,LORICA,
439,23419,LOS CÓRDOBAS,
440,23464,MOMIL,
441,23466,MONTELÍBANO,
442,23500,MOÑITOS,
443,23555,PLANETA RICA,
444,23570,PUEBLO NUEVO,
445,23574,PUERTO ESCONDIDO,
446,23580,PUERTO LIBERTADOR,
447,23586,PURÍSIMA,
448,23660,SAHAGÚN,
449,23670,SAN ANDRÉS SOTAVENTO,
450,23672,SAN ANTERO,
451,23675,SAN BERNARDO DEL VIENTO,
452,23678,SAN CARLOS,
453,23686,SAN PELAYO,
454,23807,TIERRALTA,
455,23855,VALENCIA,
456,25001,AGUA DE DIOS,
457,25019,ALBÁN,
458,25035,ANAPOIMA,
459,25040,ANOLAIMA,
460,25053,ARBELÁEZ,
461,25086,BELTRÁN,
462,25095,BITUIMA,
463,25099,BOJACÁ,
464,25120,CABRERA,
465,25123,CACHIPAY,
466,25126,CAJICÁ,
467,25148,CAPARRAPÍ,
468,25151,CAQUEZA,
469,25154,CARMEN DE CARUPA,
470,25168,CHAGUANÍ,
471,25175,CHÍA,
472,25178,CHIPAQUE,
473,25181,CHOACHÍ,
474,25183,CHOCONTÁ,
475,25200,COGUA,
476,25214,COTA,
477,25224,CUCUNUBÁ,
478,25245,EL COLEGIO,
479,25258,EL PEÑÓN,
480,25260,EL ROSAL,
481,25269,FACATATIVÁ,
482,25279,FOMEQUE,
483,25281,FOSCA,
484,25286,FUNZA,
485,25288,FÚQUENE,
486,25290,FUSAGASUGÁ,
487,25293,GACHALA,
488,25295,GACHANCIPÁ,
489,25297,GACHETÁ,
490,25299,GAMA,
491,25307,GIRARDOT,
492,25312,GRANADA,
493,25317,GUACHETÁ,
494,25320,GUADUAS,
495,25322,GUASCA,
496,25324,GUATAQUÍ,
497,25326,GUATAVITA,
498,25328,GUAYABAL DE SIQUIMA,
499,25335,GUAYABETAL,
500,25339,GUTIÉRREZ,
501,25368,JERUSALÉN,
502,25372,JUNÍN,
503,25377,LA CALERA,
504,25386,LA MESA,
505,25394,LA PALMA,
506,25398,LA PEÑA,
507,25402,LA VEGA,
508,25407,LENGUAZAQUE,
509,25426,MACHETA,
510,25430,MADRID,
511,25436,MANTA,
512,25438,MEDINA,
513,25473,MOSQUERA,
514,25483,NARIÑO,
515,25486,NEMOCÓN,
516,25488,NILO,
517,25489,NIMAIMA,
518,25491,NOCAIMA,
519,25506,VENECIA,
520,25513,PACHO,
521,25518,PAIME,
522,25524,PANDI,
523,25530,PARATEBUENO,
524,25535,PASCA,
525,25572,PUERTO SALGAR,
526,25580,PULÍ,
527,25592,QUEBRADANEGRA,
528,25594,QUETAME,
529,25596,QUIPILE,
530,25599,APULO,
531,25612,RICAURTE,
532,25645,SAN ANTONIO DEL TEQUENDAMA,
533,25649,SAN BERNARDO,
534,25653,SAN CAYETANO,
535,25658,SAN FRANCISCO,
536,25662,SAN JUAN DE RÍO SECO,
537,25718,SASAIMA,
538,25736,SESQUILÉ,
539,25740,SIBATÉ,
540,25743,SILVANIA,
541,25745,SIMIJACA,
542,25754,SOACHA,
543,25758,SOPÓ,
544,25769,SUBACHOQUE,
545,25772,SUESCA,
546,25777,SUPATÁ,
547,25779,SUSA,
548,25781,SUTATAUSA,
549,25785,TABIO,
550,25793,TAUSA,
551,25797,TENA,
552,25799,TENJO,
553,25805,TIBACUY,
554,25807,TIBIRITA,
555,25815,TOCAIMA,
556,25817,TOCANCIPÁ,
557,25823,TOPAIPÍ,
558,25839,UBALÁ,
559,25841,UBAQUE,
560,25843,VILLA DE SAN DIEGO DE UBATE,
561,25845,UNE,
562,25851,ÚTICA,
563,25862,VERGARA,
564,25867,VIANÍ,
565,25871,VILLAGÓMEZ,
566,25873,VILLAPINZÓN,
567,25875,VILLETA,
568,25878,VIOTÁ,
569,25885,YACOPÍ,
570,25898,ZIPACÓN,
571,25899,ZIPAQUIRÁ,
572,27001,QUIBDÓ,
573,27006,ACANDÍ,
574,27025,ALTO BAUDO,
575,27050,ATRATO,
576,27073,BAGADÓ,
577,27075,BAHÍA SOLANO,
578,27077,BAJO BAUDÓ,
579,27086,BELÉN DE BAJIRÁ,
580,27099,BOJAYA,
581,27135,EL CANTÓN DEL SAN PABLO,
582,27150,CARMEN DEL DARIEN,
583,27160,CÉRTEGUI,
584,27205,CONDOTO,
585,27245,EL CARMEN DE ATRATO,
586,27250,EL LITORAL DEL SAN JUAN,
587,27361,ISTMINA,
588,27372,JURADÓ,
589,27413,LLORÓ,
590,27425,MEDIO ATRATO,
591,27430,MEDIO BAUDÓ,
592,27450,MEDIO SAN JUAN,
593,27491,NÓVITA,
594,27495,NUQUÍ,
595,27580,RÍO IRO,
596,27600,RÍO QUITO,
597,27615,RIOSUCIO,
598,27660,SAN JOSÉ DEL PALMAR,
599,27745,SIPÍ,
600,27787,TADÓ,
601,27800,UNGUÍA,
602,27810,UNIÓN PANAMERICANA,
603,41001,NEIVA,
604,41006,ACEVEDO,
605,41013,AGRADO,
606,41016,AIPE,
607,41020,ALGECIRAS,
608,41026,ALTAMIRA,
609,41078,BARAYA,
610,41132,CAMPOALEGRE,
611,41206,COLOMBIA,
612,41244,ELÍAS,
613,41298,GARZÓN,
614,41306,GIGANTE,
615,41319,GUADALUPE,
616,41349,HOBO,
617,41357,IQUIRA,
618,41359,ISNOS,
619,41378,LA ARGENTINA,
620,41396,LA PLATA,
621,41483,NÁTAGA,
622,41503,OPORAPA,
623,41518,PAICOL,
624,41524,PALERMO,
625,41530,PALESTINA,
626,41548,PITAL,
627,41551,PITALITO,
628,41615,RIVERA,
629,41660,SALADOBLANCO,
630,41668,SAN AGUSTÍN,
631,41676,SANTA MARÍA,
632,41770,SUAZA,
633,41791,TARQUI,
634,41797,TESALIA,
635,41799,TELLO,
636,41801,TERUEL,
637,41807,TIMANÁ,
638,41872,VILLAVIEJA,
639,41885,YAGUARÁ,
640,44001,RIOHACHA,
641,44035,ALBANIA,
642,44078,BARRANCAS,
643,44090,DIBULLA,
644,44098,DISTRACCIÓN,
645,44110,EL MOLINO,
646,44279,FONSECA,
647,44378,HATONUEVO,
648,44420,LA JAGUA DEL PILAR,
649,44430,MAICAO,
650,44560,MANAURE,
651,44650,SAN JUAN DEL CESAR,
652,44847,URIBIA,
653,44855,URUMITA,
654,44874,VILLANUEVA,
655,47001,SANTA MARTA,
656,47030,ALGARROBO,
657,47053,ARACATACA,
658,47058,ARIGUANÍ,
659,47161,CERRO SAN ANTONIO,
660,47170,CHIBOLO,
661,47189,CIÉNAGA,
662,47205,CONCORDIA,
663,47245,EL BANCO,
664,47258,EL PIÑON,
665,47268,EL RETÉN,
666,47288,FUNDACIÓN,
667,47318,GUAMAL,
668,47460,NUEVA GRANADA,
669,47541,PEDRAZA,
670,47545,PIJIÑO DEL CARMEN,
671,47551,PIVIJAY,
672,47555,PLATO,
673,47570,PUEBLOVIEJO,
674,47605,REMOLINO,
675,47660,SABANAS DE SAN ANGEL,
676,47675,SALAMINA,
677,47692,SAN SEBASTIÁN DE BUENAVISTA,
678,47703,SAN ZENÓN,
679,47707,SANTA ANA,
680,47720,SANTA BÁRBARA DE PINTO,
681,47745,SITIONUEVO,
682,47798,TENERIFE,
683,47960,ZAPAYÁN,
684,47980,ZONA BANANERA,
685,50001,VILLAVICENCIO,
686,50006,ACACÍAS,
687,50110,BARRANCA DE UPÍA,
688,50124,CABUYARO,
689,50150,CASTILLA LA NUEVA,
690,50223,CUBARRAL,
691,50226,CUMARAL,
692,50245,EL CALVARIO,
693,50251,EL CASTILLO,
694,50270,EL DORADO,
695,50287,FUENTE DE ORO,
696,50313,GRANADA,
697,50318,GUAMAL,
698,50325,MAPIRIPÁN,
699,50330,MESETAS,
700,50350,LA MACARENA,
701,50370,URIBE,
702,50400,LEJANÍAS,
703,50450,PUERTO CONCORDIA,
704,50568,PUERTO GAITÁN,
705,50573,PUERTO LÓPEZ,
706,50577,PUERTO LLERAS,
707,50590,PUERTO RICO,
708,50606,RESTREPO,
709,50680,SAN CARLOS DE GUAROA,
710,50683,SAN JUAN DE ARAMA,
711,50686,SAN JUANITO,
712,50689,SAN MARTÍN,
713,50711,VISTAHERMOSA,
714,52001,PASTO,
715,52019,ALBÁN,
716,52022,ALDANA,
717,52036,ANCUYÁ,
718,52051,ARBOLEDA,
719,52079,BARBACOAS,
720,52083,BELÉN,
721,52110,BUESACO,
722,52203,COLÓN,
723,52207,CONSACA,
724,52210,CONTADERO,
725,52215,CÓRDOBA,
726,52224,CUASPUD,
727,52227,CUMBAL,
728,52233,CUMBITARA,
729,52240,CHACHAGÜÍ,
730,52250,EL CHARCO,
731,52254,EL PEÑOL,
732,52256,EL ROSARIO,
733,52258,EL TABLÓN DE GÓMEZ,
734,52260,EL TAMBO,
735,52287,FUNES,
736,52317,GUACHUCAL,
737,52320,GUAITARILLA,
738,52323,GUALMATÁN,
739,52352,ILES,
740,52354,IMUÉS,
741,52356,IPIALES,
742,52378,LA CRUZ,
743,52381,LA FLORIDA,
744,52385,LA LLANADA,
745,52390,LA TOLA,
746,52399,LA UNIÓN,
747,52405,LEIVA,
748,52411,LINARES,
749,52418,LOS ANDES,
750,52427,MAGÜI,
751,52435,MALLAMA,
752,52473,MOSQUERA,
753,52480,NARIÑO,
754,52490,OLAYA HERRERA,
755,52506,OSPINA,
756,52520,FRANCISCO PIZARRO,
757,52540,POLICARPA,
758,52560,POTOSÍ,
759,52565,PROVIDENCIA,
760,52573,PUERRES,
761,52585,PUPIALES,
762,52612,RICAURTE,
763,52621,ROBERTO PAYÁN,
764,52678,SAMANIEGO,
765,52683,SANDONÁ,
766,52685,SAN BERNARDO,
767,52687,SAN LORENZO,
768,52693,SAN PABLO,
769,52694,SAN PEDRO DE CARTAGO,
770,52696,SANTA BÁRBARA,
771,52699,SANTACRUZ,
772,52720,SAPUYES,
773,52786,TAMINANGO,
774,52788,TANGUA,
775,52835,SAN ANDRES DE TUMACO,
776,52838,TÚQUERRES,
777,52885,YACUANQUER,
778,54001,CÚCUTA,
779,54003,ABREGO,
780,54051,ARBOLEDAS,
781,54099,BOCHALEMA,
782,54109,BUCARASICA,
783,54125,CÁCOTA,
784,54128,CACHIRÁ,
785,54172,CHINÁCOTA,
786,54174,CHITAGÁ,
787,54206,CONVENCIÓN,
788,54223,CUCUTILLA,
789,54239,DURANIA,
790,54245,EL CARMEN,
791,54250,EL TARRA,
792,54261,EL ZULIA,
793,54313,GRAMALOTE,
794,54344,HACARÍ,
795,54347,HERRÁN,
796,54377,LABATECA,
797,54385,LA ESPERANZA,
798,54398,LA PLAYA,
799,54405,LOS PATIOS,
800,54418,LOURDES,
801,54480,MUTISCUA,
802,54498,OCAÑA,
803,54518,PAMPLONA,
804,54520,PAMPLONITA,
805,54553,PUERTO SANTANDER,
